Code,Typo,Dep
01001,6 - Rural à habitat dispersé,01
01002,6 - Rural à habitat dispersé,01
01004,2 - Centres urbains intermédiaires,01
01005,5 - Bourgs ruraux,01
01006,6 - Rural à habitat dispersé,01
01007,6 - Rural à habitat dispersé,01
01008,4 - Ceintures urbaines,01
01009,6 - Rural à habitat dispersé,01
01010,5 - Bourgs ruraux,01
01011,6 - Rural à habitat dispersé,01
01012,6 - Rural à habitat dispersé,01
01013,7 - Rural à habitat très dispersé,01
01014,4 - Ceintures urbaines,01
01015,6 - Rural à habitat dispersé,01
01016,6 - Rural à habitat dispersé,01
01017,6 - Rural à habitat dispersé,01
01019,7 - Rural à habitat très dispersé,01
01021,5 - Bourgs ruraux,01
01022,5 - Bourgs ruraux,01
01023,6 - Rural à habitat dispersé,01
01024,5 - Bourgs ruraux,01
01025,6 - Rural à habitat dispersé,01
01026,5 - Bourgs ruraux,01
01027,5 - Bourgs ruraux,01
01028,6 - Rural à habitat dispersé,01
01029,6 - Rural à habitat dispersé,01
01030,4 - Ceintures urbaines,01
01031,2 - Centres urbains intermédiaires,01
01032,5 - Bourgs ruraux,01
01033,2 - Centres urbains intermédiaires,01
01034,3 - Petites villes,01
01035,6 - Rural à habitat dispersé,01
01036,6 - Rural à habitat dispersé,01
01037,6 - Rural à habitat dispersé,01
01038,6 - Rural à habitat dispersé,01
01040,6 - Rural à habitat dispersé,01
01041,4 - Ceintures urbaines,01
01042,6 - Rural à habitat dispersé,01
01043,2 - Centres urbains intermédiaires,01
01044,6 - Rural à habitat dispersé,01
01045,6 - Rural à habitat dispersé,01
01046,6 - Rural à habitat dispersé,01
01047,6 - Rural à habitat dispersé,01
01049,4 - Ceintures urbaines,01
01050,6 - Rural à habitat dispersé,01
01051,7 - Rural à habitat très dispersé,01
01052,7 - Rural à habitat très dispersé,01
01053,2 - Centres urbains intermédiaires,01
01054,5 - Bourgs ruraux,01
01056,6 - Rural à habitat dispersé,01
01057,6 - Rural à habitat dispersé,01
01058,6 - Rural à habitat dispersé,01
01060,6 - Rural à habitat dispersé,01
01061,6 - Rural à habitat dispersé,01
01062,4 - Ceintures urbaines,01
01063,3 - Petites villes,01
01064,6 - Rural à habitat dispersé,01
01065,5 - Bourgs ruraux,01
01066,7 - Rural à habitat très dispersé,01
01067,6 - Rural à habitat dispersé,01
01068,6 - Rural à habitat dispersé,01
01069,5 - Bourgs ruraux,01
01071,4 - Ceintures urbaines,01
01072,5 - Bourgs ruraux,01
01073,6 - Rural à habitat dispersé,01
01074,5 - Bourgs ruraux,01
01075,5 - Bourgs ruraux,01
01076,6 - Rural à habitat dispersé,01
01077,6 - Rural à habitat dispersé,01
01078,3 - Petites villes,01
01079,6 - Rural à habitat dispersé,01
01080,6 - Rural à habitat dispersé,01
01081,6 - Rural à habitat dispersé,01
01082,6 - Rural à habitat dispersé,01
01083,6 - Rural à habitat dispersé,01
01084,6 - Rural à habitat dispersé,01
01085,6 - Rural à habitat dispersé,01
01087,6 - Rural à habitat dispersé,01
01088,5 - Bourgs ruraux,01
01089,5 - Bourgs ruraux,01
01090,6 - Rural à habitat dispersé,01
01092,5 - Bourgs ruraux,01
01093,5 - Bourgs ruraux,01
01094,6 - Rural à habitat dispersé,01
01095,6 - Rural à habitat dispersé,01
01096,6 - Rural à habitat dispersé,01
01098,6 - Rural à habitat dispersé,01
01099,6 - Rural à habitat dispersé,01
01100,6 - Rural à habitat dispersé,01
01101,6 - Rural à habitat dispersé,01
01102,6 - Rural à habitat dispersé,01
01103,4 - Ceintures urbaines,01
01104,6 - Rural à habitat dispersé,01
01105,5 - Bourgs ruraux,01
01106,6 - Rural à habitat dispersé,01
01107,6 - Rural à habitat dispersé,01
01108,6 - Rural à habitat dispersé,01
01109,5 - Bourgs ruraux,01
01110,6 - Rural à habitat dispersé,01
01111,7 - Rural à habitat très dispersé,01
01112,6 - Rural à habitat dispersé,01
01113,6 - Rural à habitat dispersé,01
01114,6 - Rural à habitat dispersé,01
01115,6 - Rural à habitat dispersé,01
01116,6 - Rural à habitat dispersé,01
01117,6 - Rural à habitat dispersé,01
01118,6 - Rural à habitat dispersé,01
01121,6 - Rural à habitat dispersé,01
01123,6 - Rural à habitat dispersé,01
01124,6 - Rural à habitat dispersé,01
01125,6 - Rural à habitat dispersé,01
01127,6 - Rural à habitat dispersé,01
01128,6 - Rural à habitat dispersé,01
01129,7 - Rural à habitat très dispersé,01
01130,6 - Rural à habitat dispersé,01
01133,6 - Rural à habitat dispersé,01
01134,5 - Bourgs ruraux,01
01135,4 - Ceintures urbaines,01
01136,6 - Rural à habitat dispersé,01
01138,5 - Bourgs ruraux,01
01139,6 - Rural à habitat dispersé,01
01140,6 - Rural à habitat dispersé,01
01141,6 - Rural à habitat dispersé,01
01142,2 - Centres urbains intermédiaires,01
01143,4 - Ceintures urbaines,01
01145,6 - Rural à habitat dispersé,01
01146,6 - Rural à habitat dispersé,01
01147,7 - Rural à habitat très dispersé,01
01148,5 - Bourgs ruraux,01
01149,5 - Bourgs ruraux,01
01150,6 - Rural à habitat dispersé,01
01151,6 - Rural à habitat dispersé,01
01152,6 - Rural à habitat dispersé,01
01153,4 - Ceintures urbaines,01
